fund,fund_ticker,yahoo_ticker,name
GSLC,FTNT,FTNT,Fortinet Inc
GSLC,FTV,FTV,Fortive Corp
GSLC,GD,GD,General Dynamics Corp
GSLC,GDDY,GDDY,GoDaddy Inc
GSLC,GE,GE,General Electric Co
GSLC,GILD,GILD,Gilead Sciences Inc
GSLC,GIS,GIS,General Mills Inc
GSLC,GLW,GLW,Corning Inc
GSLC,GOOG,GOOG,Alphabet Inc-Cl C
GSLC,GOOGL,GOOGL,Alphabet Inc-Cl A
GSLC,GPC,GPC,Genuine Parts Co
GSLC,GPN,GPN,Global Payments Inc
GSLC,GRMN,GRMN,Garmin Ltd
GSLC,GWW,GWW,WW Grainger Inc
GSLC,HAL,HAL,Halliburton Co
GSLC,HCA,HCA,HCA Healthcare Inc
GSLC,HD,HD,Home Depot Inc
GSLC,HES,HES,Hess Corp
GSLC,HIG,HIG,Hartford Financial Services Group Inc
GSLC,HLT,HLT,Hilton Worldwide Holdings Inc
GSLC,HOLX,HOLX,Hologic Inc
GSLC,HON,HON,Honeywell International Inc
GSLC,HPE,HPE,Hewlett Packard Enterprise Co
GSLC,HPQ,HPQ,HP Inc
GSLC,HRL,HRL,Hormel Foods Corp
GSLC,HST,HST,Host Hotels & Resorts Inc
GSLC,HSY,HSY,Hershey Co
GSLC,HUBB,HUBB,Hubbell Inc
GSLC,HUBS,HUBS,HubSpot Inc
GSLC,HUM,HUM,Humana Inc
GSLC,HWM,HWM,Howmet Aerospace Inc
GSLC,HZNP,HZNP,Horizon Therapeutics Plc
GSLC,IBM,IBM,International Business Machines Corp
GSLC,ICE,ICE,Intercontinental Exchange Inc
GSLC,IDXX,IDXX,IDEXX Laboratories Inc
GSLC,IEX,IEX,IDEX Corp
GSLC,IFF,IFF,International Flavors & Fragrances Inc
GSLC,INCY,INCY,Incyte Corp
GSLC,INTC,INTC,Intel Corp
GSLC,INTU,INTU,Intuit Inc
GSLC,INVH,INVH,Invitation Homes Inc
GSLC,IP,IP,International Paper Co
GSLC,IQV,IQV,IQVIA Holdings Inc
GSLC,IRM,IRM,Iron Mountain Inc
GSLC,ISRG,ISRG,Intuitive Surgical Inc
GSLC,IT,IT,Gartner Inc
GSLC,ITW,ITW,Illinois Tool Works Inc
GSLC,J,J,Jacobs Solutions Inc
GSLC,JBHT,JBHT,JB Hunt Transport Services Inc
GSLC,JCI,JCI,Johnson Controls International plc
GSLC,JKHY,JKHY,Jack Henry & Associates Inc
GSLC,JNJ,JNJ,Johnson & Johnson
GSLC,JPM,JPM,JPMorgan Chase & Co
GSLC,K,K,Kellogg Co
GSLC,KDP,KDP,Keurig Dr Pepper Inc
GSLC,KEY,KEY,KeyCorp
GSLC,KEYS,KEYS,Keysight Technologies Inc
GSLC,KHC,KHC,Kraft Heinz Co
GSLC,KKR,KKR,KKR & Co Inc
GSLC,KLAC,KLAC,KLA Corp
GSLC,KMB,KMB,Kimberly-Clark Corp
GSLC,KMI,KMI,Kinder Morgan Inc
GSLC,KO,KO,Coca-Cola Co
GSLC,KR,KR,Kroger Co
GSLC,LBRDK,LBRDK,Liberty Broadband Corp
GSLC,LDOS,LDOS,Leidos Holdings Inc
GSLC,LEN,LEN,Lennar Corp
GSLC,LH,LH,Laboratory Corp of America Holdings
GSLC,LHX,LHX,L3Harris Technologies Inc
GSLC,LIN,LIN,Linde PLC
GSLC,LKQ,LKQ,LKQ Corp
GSLC,LLY,LLY,Eli Lilly & Co
GSLC,LMT,LMT,Lockheed Martin Corp
GSLC,LNG,LNG,Cheniere Energy Inc
GSLC,LNT,LNT,Alliant Energy Corp
GSLC,LOW,LOW,Lowes Cos Inc
GSLC,LPLA,LPLA,LPL Financial Holdings Inc
GSLC,LRCX,LRCX,Lam Research Corp
GSLC,LUV,LUV,Southwest Airlines Co
GSLC,LW,LW,Lamb Weston Holdings Inc
GSLC,LYB,LYB,LyondellBasell Industries NV
GSLC,MA,MA,Mastercard Inc
GSLC,MAA,MAA,Mid-America Apartment Communities Inc
GSLC,MAR,MAR,Marriott International Inc
GSLC,MAS,MAS,Masco Corp
GSLC,MCD,MCD,McDonalds Corp
GSLC,MCHP,MCHP,Microchip Technology Inc
GSLC,MCK,MCK,McKesson Corp
GSLC,MCO,MCO,Moodys Corp
GSLC,MDLZ,MDLZ,Mondelez International Inc
GSLC,MDT,MDT,Medtronic PLC
GSLC,MET,MET,MetLife Inc
GSLC,META,META,Meta Platforms Inc
GSLC,MGM,MGM,MGM Resorts International
